Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Sector,Stock_code,Stock_name,Lag_1,Lag_2,Lag_3,Lag_5,Lag_10,MA_5,Vol_5,MA_10,Vol_10,MA_20,Vol_20,Price_to_High,Price_to_Low,Daily_Return,Day_of_Week,Month,Quarter,Volume_MA_5,Volume_Ratio,EMA_5,EMA_10,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,Momentum_10,Target
2026-01-16,ABSA,ABSA Bank Kenya Plc,15.0,33.0,25.65,25.9,25.75,25.8,-0.05,-0.19,149318.0,Banking,ABSA,ABSA Bank Kenya Plc,25.8,25.7,25.7,25.55,24.85,25.73,0.044721359550010255,25.685000000000002,0.1700490125424653,25.60909090909091,0.2990135296422075,0.7803030303030303,1.7166666666666666,-0.0019379844961240345,4,1,1,1510006.4,0.09888567359714502,25.713120459279587,25.591872436917193,25.38476395628293,71.42857142857137,0.24016039949710333,0.18921936881370355,0.05094103068339978,0.03621730382293764,0
2026-01-19,ABSA,ABSA Bank Kenya Plc,15.0,33.0,25.6,25.8,25.7,25.75,-0.05,-0.19,247587.0,Banking,ABSA,ABSA Bank Kenya Plc,25.75,25.8,25.7,25.7,25.45,25.73,0.044721359550010255,25.709999999999997,0.1486980534879728,25.616666666666664,0.2863035049902416,0.7787878787878788,1.7133333333333334,-0.001941747572815511,0,1,1,1062762.8,0.23296543687829493,25.70874697285306,25.611531993841336,25.414786436636938,69.76744186046506,0.2349194872862519,0.19835939250821322,0.036560094778038676,0.00982318271119853,1
2026-01-20,ABSA,ABSA Bank Kenya Plc,15.0,33.0,25.6,25.85,25.75,25.7,0.05,0.19,235468.0,Banking,ABSA,ABSA Bank Kenya Plc,25.7,25.75,25.8,25.7,26.05,25.74,0.04183300132671985,25.68,0.09189365834727192,25.626923076923074,0.2765979216415238,0.7803030303030303,1.7166666666666666,0.0019455252918287869,1,1,1,801271.6,0.2938678969777539,25.72249798190204,25.636707994961093,25.44671153790961,70.4545454545454,0.2321248183200737,0.20511247767058532,0.027012340649488376,-0.01151631477927062,0
2026-01-21,ABSA,ABSA Bank Kenya Plc,15.0,33.0,25.6,25.95,25.7,25.75,-0.05,-0.19,89609.0,Banking,ABSA,ABSA Bank Kenya Plc,25.75,25.7,25.75,25.7,25.65,25.740000000000002,0.04183300132671985,25.685000000000002,0.09143911149563844,25.63214285714286,0.2664634069675375,0.7787878787878788,1.7133333333333334,-0.001941747572815511,2,1,1,204578.4,0.4380178943622592,25.714998654601363,25.64821563224089,25.470834248584886,68.88888888888881,0.22330136179876092,0.20875025449622048,0.014551107302540445,0.0019493177387914784,1
2026-01-22,ABSA,ABSA Bank Kenya Plc,15.0,33.0,25.7,26.0,26.0,25.7,0.3,1.17,189270.0,Banking,ABSA,ABSA Bank Kenya Plc,25.7,25.75,25.7,25.8,25.5,25.78,0.12549900398011749,25.735000000000003,0.1131616346451229,25.65666666666667,0.27377432485969394,0.7878787878787878,1.7333333333333334,0.011673151750972721,3,1,1,182250.4,1.0385162391961829,25.809999103067575,25.71217642637891,25.5212309868149,72.54901960784308,0.23777527635558116,0.21455525886809262,0.02322001748748853,0.019607843137254832,1
2026-01-23,ABSA,ABSA Bank Kenya Plc,15.0,33.0,25.95,28.0,26.45,26.0,0.45,1.73,303082.0,Banking,ABSA,ABSA Bank Kenya Plc,26.0,25.7,25.75,25.75,25.55,25.919999999999998,0.3213253802611956,25.825,0.23833916076791953,25.70625,0.33059290171851363,0.8015151515151515,1.7633333333333332,0.017307692307692246,4,1,1,213003.2,1.422898810909883,26.023332735378386,25.846326167037287,25.609685178546815,70.83333333333329,0.28230298404134757,0.22810480390274362,0.054198180138603946,0.03522504892367895,1
2026-01-26,ABSA,ABSA Bank Kenya Plc,15.0,33.0,26.1,28.0,27.15,26.45,0.7,2.65,1172750.0,Banking,ABSA,ABSA Bank Kenya Plc,26.45,26.0,25.7,25.7,25.7,26.21,0.6035312750802585,25.97,0.47621190427978405,25.791176470588233,0.474419149499432,0.8227272727272726,1.8099999999999998,0.026465028355387554,0,1,1,398035.8,2.9463430173868783,26.39888849025226,26.083357773030507,25.756381828209022,71.99999999999993,0.36981269252402527,0.25644638162699995,0.11336631089702531,0.05642023346303504,1
2026-01-27,ABSA,ABSA Bank Kenya Plc,15.0,33.0,26.5,28.0,27.6,27.15,0.45,1.66,354770.0,Banking,ABSA,ABSA Bank Kenya Plc,27.15,26.45,26.0,25.75,25.7,26.580000000000002,0.7894618420164499,26.160000000000004,0.6883151732874837,25.891666666666666,0.627377829681979,0.8363636363636364,1.84,0.016574585635359185,1,1,1,421896.2,0.8408940398135845,26.79925899350151,26.359110905206776,25.931964511236735,88.23529411764704,0.470057476178269,0.2991686005372538,0.17088887564101518,0.07392996108949434,1
2026-01-28,ABSA,ABSA Bank Kenya Plc,15.0,33.0,27.75,28.25,28.05,27.6,0.45,1.63,245622.0,Banking,ABSA,ABSA Bank Kenya Plc,27.6,27.15,26.45,25.7,25.7,27.05,0.8329165624478894,26.395,0.8864567420667274,26.00526315789474,0.7854394977834779,0.85,1.87,0.016304347826086918,2,1,1,453098.8,0.5420936890585453,27.216172662334344,26.66654528607827,26.133682176833236,94.7368421052631,0.5791374921332668,0.3551623788564564,0.2239751132768104,0.09143968871595343,0
2026-01-29,ABSA,ABSA Bank Kenya Plc,15.0,33.0,27.9,28.5,27.95,28.05,-0.1,-0.36,272084.0,Banking,ABSA,ABSA Bank Kenya Plc,28.05,27.6,27.15,26.0,25.8,27.439999999999998,0.6561249880929785,26.610000000000003,0.9817218433842545,26.1025,0.8795146687984106,0.8469696969696969,1.8633333333333333,-0.0035650623885918886,3,1,1,469661.6,0.5793192375105821,27.460781774889565,26.899900688609492,26.306664826658643,91.37931034482749,0.6500219776577474,0.4141342986167146,0.2358876790410328,0.08333333333333326,0
