Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
2-Jan-26,EGAD,Eaagads Ltd,11,35.25,18.5,20.5,20.3,20.5,-0.2,-0.98%,1136,-
2-Jan-26,KUKZ,Kakuzi Plc,365,440,390,405,402,402,-,-,84,-
2-Jan-26,KAPC,Kapchorua Tea Kenya Plc,198,424.25,230,235.75,233,231.5,1.5,0.65%,699,-
2-Jan-26,LIMT,Limuru Tea Plc,295,555,460,460,460,460,-,-,-,-
2-Jan-26,SASN,Sasini Plc,13.3,33.9,17.9,18.9,18.15,17.85,0.3,1.68%,4127,-
2-Jan-26,WTK,Williamson Tea Kenya Plc,136,350,149,155,150,149.5,0.5,0.33%,24702,-
2-Jan-26,CGEN,Car and General (K) Ltd,19.8,74.25,51,56,51,51,-,-,25,-
2-Jan-26,ABSA,ABSA Bank Kenya Plc,15,33,24.3,25.45,24.85,24.7,0.15,0.61%,140294,-
2-Jan-26,BKG,BK Group Plc,28.75,52,38.5,43,40.55,42.5,-1.95,-4.59%,2113,-
2-Jan-26,COOP,Co-operative Bank of Kenya Ltd,13.8,31.5,23.4,24,23.9,23.95,-0.05,-0.21%,125042,-
2-Jan-26,DTK,Diamond Trust Bank Kenya Ltd,66,170,113.5,115,114.75,114.5,0.25,0.22%,4393,-
2-Jan-26,EQTY,Equity Group Holdings Plc,41.2,80,66.5,67,67,66.75,0.25,0.37%,52955,-
2-Jan-26,HFCK,HF Group Ltd,5.3,11.5,9.98,10.05,10,9.96,0.04,0.40%,128891,-
2-Jan-26,IMH,I & M Holdings Plc,29.5,52,42.15,43,42.8,42.45,0.35,0.82%,111814,-
2-Jan-26,KCB,KCB Group Plc,37.5,80.5,65,66.5,65.75,65.75,-,-,199339,-
2-Jan-26,NCBA,NCBA Group Plc,48,100,84,86.5,85,84,1,1.19%,511699,-
2-Jan-26,SBIC,Stanbic Holdings Plc,147,300,197,198,197.75,197.75,-,-,2891,-
2-Jan-26,SCBK,Standard Chartered Bank Kenya Ltd,260,365,298,300,299.75,297.25,2.5,0.84%,10335,-
2-Jan-26,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
2-Jan-26,EVRD,Eveready East Africa Ltd,0.75,1.78,1.3,1.37,1.35,1.37,-0.02,-1.46%,8947,-
2-Jan-26,XPRS,Express Kenya Plc,2.8,10,7.28,7.6,7.5,7.4,0.1,1.35%,393,-
2-Jan-26,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
2-Jan-26,KQ,Kenya Airways Plc,1.56,7.58,3.53,3.6,3.58,3.53,0.05,1.42%,53789,-
2-Jan-26,LKL,Longhorn Publishers Plc,2.35,3.5,2.9,3,2.9,2.9,-,-,33219,-
2-Jan-26,NBV,Nairobi Business Ventures Ltd,1.33,2.16,1.4,1.52,1.44,1.47,-0.03,-2.04%,32879,-
2-Jan-26,NMG,Nation Media Group Plc,10.05,20,11.6,12.7,12.7,11.55,1.15,9.96%,1257,-
2-Jan-26,SMER,Sameer Africa Plc,2.7,21.5,13.1,14.45,14,14.25,-0.25,-1.75%,4405,-
2-Jan-26,SGL,Standard Group Plc,5.2,7.14,5.9,6.64,6.58,6.04,0.54,8.94%,28858,-
2-Jan-26,TPSE,TPS Eastern Africa (Serena) Ltd,13.05,18.2,15,15.9,15.55,14.7,0.85,5.78%,775,-
2-Jan-26,UCHM,Uchumi Supermarket Plc,0.23,2.93,1.13,1.13,1.13,1.03,0.1,9.71%,447614,-
2-Jan-26,SCAN,WPP ScanGroup Plc,2,3.33,2.48,2.5,2.5,2.55,-0.05,-1.96%,56877,-
2-Jan-26,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
2-Jan-26,BAMB,Bamburi Cement Ltd,47.2,56.5,47.2,47.2,47.2,47.2,-,-,-,-
2-Jan-26,CRWN,Crown Paints Kenya Plc,33.95,70.75,54,59.75,54.25,54.5,-0.25,-0.46%,260,-
2-Jan-26,CABL,East African Cables Plc,1,2.44,1,1,1,1,-,-,-,-
2-Jan-26,PORT,East African Portland Cement Ltd,28,101,71,75,72.75,73.5,-0.75,-1.02%,219,-
2-Jan-26,KEGN,Kenya Electricity Generating Company Plc,4.7,10.75,9.06,9.2,9.18,9.18,-,-,626520,-
2-Jan-26,KPLC-P4,KPLC-P4,4,5,5,5,5,5,-,-,-,-
2-Jan-26,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
2-Jan-26,KPLC,Kenya Power and Lighting Company Plc,6,19,13.5,13.8,13.6,13.6,-,-,378530,-
2-Jan-26,TOTL,TotalEnergies Marketing Kenya Plc,21,47,37.5,40,37.9,38.55,-0.65,-1.69%,5572,-
2-Jan-26,UMME,Umeme Ltd,5.8,24.75,7.5,8,7.9,7.82,0.08,1.02%,113513,-
2-Jan-26,BRIT,Britam Holdings Plc,5.92,13.4,9,9.1,9.06,9.1,-0.04,-0.44%,16962,-
2-Jan-26,CIC,CIC Insurance Group Ltd,2.55,6.62,4.5,4.6,4.54,4.57,-0.03,-0.66%,135273,-
2-Jan-26,JUB,Jubilee Holdings Ltd,182,437.75,320,334,322.5,335,-12.5,-3.73%,222,-
2-Jan-26,KNRE,Kenya Re-Insurance Corporation Ltd,1.5,4.02,2.99,3.04,3,3.01,-0.01,-0.33%,1735806,-
2-Jan-26,LBTY,Liberty Kenya Holdings Ltd,9.1,12.2,9.1,10.25,9.98,10.1,-0.12,-1.19%,3459,-
2-Jan-26,SLAM,Sanlam Allianz Holdings (Kenya) Plc,5.5,11,8.2,8.8,8.78,8.46,0.32,3.78%,30364,-
2-Jan-26,CTUM,Centum Investment Company Plc,10.85,16.75,13.85,14,14,13.85,0.15,1.08%,13647,-
2-Jan-26,HAFR,Home Afrika Ltd,0.48,1.93,1.3,1.42,1.36,1.34,0.02,1.49%,294617,-
2-Jan-26,KURV,Kurwitu Ventures Ltd,1400,1500,1500,1500,1500,1500,-,-,-,-
2-Jan-26,OCH,Olympia Capital Holdings Ltd,3.12,9,7.5,9,8.72,8.22,0.5,6.08%,1873,-
2-Jan-26,TCL,Trans-Century Plc,0.71,1.39,0.71,0.71,0.71,0.71,-,-,-,-
2-Jan-26,NSE,Nairobi Securities Exchange Plc,6.5,25.9,20.3,21.5,20.65,20.25,0.4,1.98%,51536,-
2-Jan-26,AMAC,Africa Mega Agricorp Plc,51,120,70.5,70.5,70.5,70.5,-,-,-,-
2-Jan-26,BOC,BOC Kenya Plc,76,150,123,132,126,127,-1,-0.79%,257,-
2-Jan-26,BAT,British American Tobacco Kenya Plc,345,629,455,460,458.5,459,-0.5,-0.11%,960,-
