iter	Logloss
0	0.6909597444
1	0.6887104635
2	0.6868435616
3	0.6847119646
4	0.6829126778
5	0.6808973236
6	0.679257706
7	0.6773889868
8	0.6759351695
9	0.6742619637
10	0.67295804
11	0.6716989215
12	0.6702265555
13	0.6690869382
14	0.6673325192
15	0.6658614691
16	0.6645919483
17	0.6635977127
18	0.6623694251
19	0.6611064214
20	0.6601042901
21	0.6589458108
22	0.6579970697
23	0.6568778184
24	0.6558757498
25	0.655084798
26	0.6538813882
27	0.6528095739
28	0.651993995
29	0.6504599671
30	0.6494830896
31	0.6484597777
32	0.6475037675
33	0.6465961344
34	0.6456044054
35	0.6446732104
36	0.6440127262
37	0.6429696749
38	0.6418682204
39	0.6410021965
40	0.6399407845
41	0.6391509607
42	0.6382826809
43	0.6373620135
44	0.6367521622
45	0.6361948238
46	0.6354870905
47	0.6345068918
48	0.6337906988
49	0.6327742174
50	0.6316824131
51	0.6307513434
52	0.629909508
53	0.6292608047
54	0.6283664565
55	0.6275226785
56	0.6264610159
57	0.625837629
58	0.6248033508
59	0.6240358983
60	0.6230340803
61	0.6225353332
62	0.6215909787
63	0.6209207814
64	0.6204012298
65	0.6196699346
66	0.6190954261
67	0.6185711746
68	0.6180234865
69	0.6174022303
70	0.6166013775
71	0.6156973789
72	0.6151284476
73	0.614703958
74	0.6141975032
75	0.6135527478
76	0.6130454783
77	0.6122090321
78	0.6117189328
79	0.6109507909
80	0.610395959
81	0.6100942293
82	0.6093633101
83	0.6086532583
84	0.6080868962
85	0.6074963456
86	0.6068599245
87	0.6060988637
88	0.6053634954
89	0.6050132006
90	0.604590779
91	0.6040813789
92	0.6034844992
93	0.6029600597
94	0.6024556102
95	0.6015018559
96	0.6007750726
97	0.6002391655
98	0.5996190372
99	0.5991726777
100	0.5985913388
101	0.5980286112
102	0.5974210159
103	0.5969706459
104	0.5961637773
105	0.5956101361
106	0.5949876266
107	0.5945598158
108	0.5939363663
109	0.5935416424
110	0.5928730744
111	0.5924483342
112	0.5919710811
113	0.5914903187
114	0.5910500377
115	0.5903758926
116	0.5898580329
117	0.5890630079
118	0.5885848775
119	0.5879683211
120	0.5874698247
121	0.5869760281
122	0.5867187902
123	0.5863062069
124	0.5858299564
125	0.585077606
126	0.5845413228
127	0.5839556601
128	0.5836371989
129	0.5833073328
130	0.5829015172
131	0.582594649
132	0.5821295528
133	0.5815202655
134	0.5810421977
135	0.5806751089
136	0.5803253154
137	0.5796355669
138	0.5790110521
139	0.5784052113
140	0.5778798319
141	0.5775520963
142	0.5771370064
143	0.5765933916
144	0.5763005602
145	0.5758152233
146	0.5754145463
147	0.5751358144
148	0.5746825618
149	0.574413731
150	0.5739317153
151	0.5734389214
152	0.5730006456
153	0.5725246458
154	0.5721034148
155	0.5717176519
156	0.5712529317
157	0.5707284295
158	0.5702132017
159	0.569653106
160	0.5690824828
161	0.5687243549
162	0.5683097037
163	0.5678561378
164	0.5673446698
165	0.5668449828
166	0.566523639
167	0.5661763522
168	0.5655940733
169	0.5650671899
170	0.5645408077
171	0.5640200028
172	0.5636093621
173	0.5633246771
174	0.5629104018
175	0.5623640924
176	0.5620052752
177	0.5617087466
178	0.5610900597
179	0.560814273
180	0.5604242489
181	0.5601348641
