iter	Passed	Remaining
0	11	2120
1	21	1979
2	34	2057
3	45	2032
4	56	1988
5	69	2047
6	83	2077
7	94	2057
8	107	2065
9	119	2048
10	131	2044
11	146	2070
12	155	2019
13	167	2013
14	180	2009
15	190	1977
16	204	1983
17	217	1981
18	231	1984
19	243	1971
20	253	1941
21	266	1937
22	281	1949
23	293	1932
24	306	1924
25	317	1902
26	331	1902
27	347	1913
28	361	1906
29	373	1891
30	385	1875
31	398	1868
32	412	1861
33	427	1862
34	439	1846
35	463	1878
36	478	1877
37	488	1851
38	528	1936
39	562	1995
40	591	2034
41	629	2098
42	646	2088
43	664	2084
44	681	2074
45	699	2067
46	715	2055
47	735	2053
48	751	2038
49	768	2029
50	782	2009
51	807	2017
52	823	2004
53	842	1995
54	858	1981
55	881	1982
56	900	1974
57	915	1957
58	932	1943
59	948	1929
60	964	1912
61	985	1907
62	1022	1930
63	1059	1952
64	1089	1961
65	1129	1985
66	1172	2012
67	1201	2014
68	1236	2024
69	1280	2048
70	1327	2075
71	1352	2066
72	1382	2064
73	1412	2061
74	1469	2096
75	1643	2292
76	1704	2323
77	1763	2350
78	1806	2355
79	1879	2396
80	1916	2389
81	1954	2383
82	1992	2376
83	2028	2366
84	2062	2353
85	2191	2446
86	2226	2431
87	2362	2523
88	2410	2518
89	2467	2522
90	2515	2515
91	2553	2497
92	2584	2472
93	2613	2446
94	2660	2436
95	2691	2410
96	2721	2384
97	2746	2353
98	2773	2325
99	2796	2292
100	2823	2264
101	2842	2229
102	2868	2200
103	2890	2167
104	2919	2141
105	2947	2112
106	2983	2091
107	3003	2058
108	3023	2025
109	3055	2000
110	3083	1972
111	3140	1962
112	3172	1937
113	3199	1908
114	3222	1877
115	3245	1846
116	3258	1810
117	3279	1778
118	3292	1742
119	3309	1710
120	3327	1677
121	3340	1642
122	3356	1610
123	3379	1580
124	3400	1550
125	3419	1519
126	3434	1487
127	3450	1455
128	3479	1429
129	3508	1403
130	3538	1377
131	3562	1349
132	3582	1319
133	3596	1288
134	3612	1257
135	3627	1226
136	3642	1196
137	3657	1166
138	3672	1136
139	3692	1107
140	3706	1077
141	3717	1047
142	3730	1017
143	3743	987
144	3756	958
145	3765	928
146	3779	899
147	3793	871
148	3807	843
149	3816	814
150	3829	786
151	3845	758
152	3858	731
153	3871	703
154	3881	676
155	3896	649
156	3912	622
157	3926	596
158	3940	569
159	3952	543
160	3962	516
161	3986	492
162	4000	466
163	4011	440
164	4028	415
165	4042	389
166	4058	364
167	4073	339
168	4089	314
169	4107	289
170	4123	265
171	4136	240
172	4146	215
173	4157	191
174	4172	166
175	4189	142
176	4206	118
177	4224	94
178	4239	71
179	4255	47
180	4268	23
181	4277	0
